ELK4	chr1	205597556	205631962
ASXL2	chr2	25733753	25878516
ZFP36L2	chr2	43222402	43226609
ZFP36L1 chr14	68787660	68796253
MSH2	chr2	47402969	47663146
MSH6	chr2	47695530	47810101
IDH1	chr2	208236227	208266074
HDAC4	chr2	239048168	239401654
FANCD2	chr3	10026414	10101930
MLH1	chr3	36993332	37050918
CTNNB1	chr3	41194741	41260096
PIK3CB	chr3	138652699	138834938
PIK3CA	chr3	179148114	179240093
ETV5	chr3	186046308	186110318
SEL1L3	chr4	25747427	25863760
SH3RF1	chr4	169094256	169271105
CHD1	chr5	98853985	98928957
FER	chr5	108747822	109196841
APC	chr5	112707498	112846239
SSR1	chr6	7268306	7347446
ZNF292	chr6	87152833	87264196
ETV1	chr7	13891228	13991425
BRAF	chr7	140719327	140924928
KMT2C	chr7	152134922	152436005
NKX3-1	chr8	23678693	23682927
WRN	chr8	31033801	31173769
BAG4	chr8	38176533	38213301
PRKDC	chr8	47773108	47960183
NBN	chr8	89933336	90003228
RSPO2	chr8	107899316	108083648
MYC	chr8	127735434	127741434
PTPRD	chr9	8314246	10612723
CDKN2A	chr9	21967753	21995301
FANCG	chr9	35073835	35080016
PTEN	chr10	87863113	87971930
HRAS	chr11	532242	537287
CCND1	chr11	69641087	69654474
ATM	chr11	108222484	108369102
USP28	chr11	113797874	113875570
ZBTB16	chr11	114059593	114250676
GPR19	chr12	12660891	12696207
KRAS	chr12	25204789	25250936
KMT2D	chr12	49018975	49059774
NCOR2	chr12	124324415	124567589
BRCA2	chr13	32315474	32400266
RB1	chr13	48303726	48599436
FOXA1	chr14	37589984	37596059
RAD51B	chr14	67819779	68730218
AKT1	chr14	104769349	104795751
TCF12	chr15	56918623	57299281
BLM	chr15	90717327	90816165
ZFHX3	chr16	72782885	73891871
TP53	chr17	7661779	7687550
NCOR1	chr17	16029157	16218185
RAD51D	chr17	35092208	35121522
CDK12	chr17	39461511	39564907
BRCA1	chr17	43044295	43170245
ETV4	chr17	43527844	43579620
SPOP	chr17	49598884	49678234
BRIP1	chr17	61681266	61863521
CTDP1	chr18	79679801	79756623
AXL	chr19	41219203	41261766
ERF	chr19	42247572	42255157
ERCC2	chr19	45349837	45370918
GNAS	chr20	58839718	58911192
ERG	chr21	38380027	38661780
ZNRF3	chr22	28883592	29057487
MIRLET7BHG	chr22	46053869	46113928
KDM6A	chrX	44873177	45112602
AR	chrX	67544032	67730619
MED12	chrX	71118556	71142454
ZMYM3	chrX	71239624	71255146
